author_id,perplexity,x,y,forget_class,kmeans_cluster
12,30,-0.040611,-2.037311,retain (0–179),5
13,30,-0.560010,-0.068564,retain (0–179),3
14,30,-0.262296,0.244590,retain (0–179),2
15,30,-2.152132,0.550043,retain (0–179),0
16,30,1.437660,0.522019,retain (0–179),1
17,30,-0.235484,1.538079,retain (0–179),0
18,30,0.454991,0.125508,retain (0–179),0
19,30,1.126279,-1.465231,retain (0–179),0
20,30,0.126515,0.562867,retain (0–179),0
21,30,-1.971393,-0.639258,retain (0–179),1
22,30,-0.142967,0.535913,retain (0–179),2
23,30,1.793478,-1.981025,retain (0–179),1
24,30,-0.452749,2.687984,retain (0–179),1
25,30,0.653757,1.166628,retain (0–179),1
26,30,-0.997731,-1.081797,retain (0–179),0
27,30,1.938397,-0.750540,retain (0–179),2
28,30,0.833293,0.346267,retain (0–179),3
29,30,0.435952,0.374192,retain (0–179),1
30,30,0.654207,-2.198602,retain (0–179),5
31,30,0.111800,-0.065525,retain (0–179),1
32,30,-0.555148,2.197097,retain (0–179),0
33,30,0.262794,0.257345,retain (0–179),4
34,30,0.495034,2.788249,retain (0–179),2
35,30,-0.949907,-0.744893,retain (0–179),4
36,30,-0.789411,1.072574,retain (0–179),0
37,30,1.086906,-1.035140,retain (0–179),2
38,30,0.628564,-0.413167,retain (0–179),0
39,30,-2.500114,0.848613,retain (0–179),2
40,30,1.027442,-1.840729,retain (0–179),2
41,30,0.010541,-2.373250,retain (0–179),2
42,30,1.393229,0.870468,retain (0–179),2
43,30,-1.445234,1.650227,retain (0–179),4
44,30,0.148296,-1.813247,retain (0–179),0
45,30,-0.495066,-1.163234,retain (0–179),2
46,30,0.690987,0.080730,retain (0–179),3
47,30,0.693589,0.568319,retain (0–179),2
48,30,0.623110,-0.218501,retain (0–179),3
49,30,-0.452414,-0.845512,retain (0–179),2
50,30,-0.465242,-0.650724,retain (0–179),0
51,30,-0.358357,1.285760,retain (0–179),2
52,30,-0.485339,-0.441991,retain (0–179),4
53,30,0.139679,-0.090409,retain (0–179),2
54,30,-0.269589,-1.438925,retain (0–179),0
55,30,-1.652483,0.584403,retain (0–179),0
56,30,0.599907,2.481753,retain (0–179),5
57,30,0.998765,0.015302,retain (0–179),3
58,30,0.192693,-1.559425,retain (0–179),1
59,30,-0.226945,0.709072,retain (0–179),3
60,30,-0.752327,-2.548801,retain (0–179),1
61,30,-0.700487,0.273715,retain (0–179),2
62,30,0.105462,1.498187,retain (0–179),0
63,30,0.858341,1.026114,retain (0–179),3
64,30,0.557808,2.692836,retain (0–179),1
65,30,1.591863,-0.920021,retain (0–179),2
66,30,-0.652147,-1.799747,retain (0–179),1
67,30,-1.867875,0.226311,retain (0–179),1
68,30,0.470951,1.609623,retain (0–179),1
69,30,2.274340,-0.058953,retain (0–179),1
70,30,-0.007846,-0.860262,retain (0–179),1
71,30,0.259815,-1.959196,retain (0–179),1
72,30,1.191947,-0.728426,retain (0–179),3
73,30,-0.987426,0.565147,retain (0–179),3
74,30,-0.741019,0.633643,retain (0–179),2
75,30,0.513593,-0.610069,retain (0–179),2
76,30,-0.236957,-1.068160,retain (0–179),3
77,30,0.151793,-0.257297,retain (0–179),4
78,30,-0.925388,-1.970628,retain (0–179),1
79,30,0.301616,0.458529,retain (0–179),5
80,30,-1.212127,-2.109368,retain (0–179),0
81,30,2.153409,0.459694,retain (0–179),0
82,30,-0.891839,0.185855,retain (0–179),0
83,30,1.072649,-0.683008,retain (0–179),3
84,30,0.079379,-0.713819,retain (0–179),2
85,30,-1.011651,1.811378,retain (0–179),1
86,30,0.601306,-0.655360,retain (0–179),4
87,30,-0.638417,-2.552656,retain (0–179),4
88,30,-0.229672,0.374858,retain (0–179),1
89,30,-1.341371,1.702126,retain (0–179),5
90,30,1.890550,-0.769564,retain (0–179),4
91,30,1.403888,0.207712,retain (0–179),3
92,30,1.022433,-0.374669,retain (0–179),1
93,30,-1.821076,2.121301,retain (0–179),5
94,30,0.589069,0.224675,retain (0–179),5
95,30,1.860982,1.388244,retain (0–179),0
96,30,1.959434,-1.322550,retain (0–179),2
97,30,-1.567063,-0.127836,retain (0–179),1
98,30,-1.709437,0.889117,retain (0–179),2
99,30,-0.409926,-0.136507,retain (0–179),4
100,30,-2.125204,-0.282435,retain (0–179),3
101,30,-0.499397,0.311528,retain (0–179),4
102,30,-1.374986,-0.320831,retain (0–179),0
103,30,-1.415444,0.394535,retain (0–179),0
104,30,2.524835,-0.051979,retain (0–179),2
105,30,0.998216,-1.193610,retain (0–179),1
106,30,-1.507951,-1.389973,retain (0–179),3
107,30,-0.626505,2.215498,retain (0–179),1
108,30,0.704773,1.460976,retain (0–179),0
109,30,0.167804,0.193563,retain (0–179),3
110,30,-1.334480,-0.124072,retain (0–179),0
111,30,0.790405,0.409201,retain (0–179),1
112,30,-0.773957,-0.129655,retain (0–179),2
113,30,-0.307660,-0.320211,retain (0–179),4
114,30,1.201277,-0.265517,retain (0–179),2
115,30,1.051702,2.266620,retain (0–179),0
116,30,0.048668,0.207441,retain (0–179),2
117,30,-0.123873,0.784684,retain (0–179),4
118,30,0.727879,-2.425396,retain (0–179),5
119,30,-0.060619,0.468010,retain (0–179),3
120,30,-0.488664,-1.357981,retain (0–179),2
121,30,-2.280838,0.922745,retain (0–179),2
122,30,0.821806,1.176967,retain (0–179),0
123,30,-1.544800,0.372294,retain (0–179),1
124,30,0.682998,-0.812813,retain (0–179),3
125,30,-1.584002,-1.613271,retain (0–179),1
126,30,-0.328558,1.560221,retain (0–179),0
127,30,-1.616833,-0.953801,retain (0–179),5
128,30,0.831127,0.592528,retain (0–179),1
129,30,0.659644,-0.471097,retain (0–179),0
130,30,1.974169,1.365961,retain (0–179),3
131,30,-1.122856,-1.495925,retain (0–179),4
132,30,-1.087381,-0.575463,retain (0–179),2
133,30,1.461956,0.419846,retain (0–179),3
134,30,-0.220742,-0.122323,retain (0–179),2
